2019/04/01 23:11:18 nsqlookupd v0.2.16
2019/04/01 23:11:18 HTTP: listening on [::]:4161
2019/04/01 23:11:18 TCP: listening on [::]:4160
2019/04/01 23:11:18 TCP: new client(192.168.1.189:45630)
2019/04/01 23:11:18 CLIENT(192.168.1.189:45630): desired protocol 538990129
2019/04/01 23:33:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999891923s)
2019/04/01 23:33:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000134668s)
2019/04/01 23:34:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999958938s)
2019/04/01 23:34:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999963186s)
2019/04/01 23:34:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000040123s)
2019/04/01 23:34:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000029241s)
2019/04/01 23:35:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000006352s)
2019/04/01 23:35:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000184061s)
2019/04/01 23:35:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999818387s)
2019/04/01 23:35:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000200694s)
2019/04/01 23:36:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999855496s)
2019/04/01 23:36:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000132513s)
2019/04/01 23:36:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999946921s)
2019/04/01 23:36:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999974069s)
2019/04/01 23:37:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999828348s)
2019/04/01 23:37:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999978629s)
2019/04/01 23:37:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000009857s)
2019/04/01 23:37:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000257117s)
2019/04/01 23:38:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999784453s)
2019/04/01 23:38:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000012738s)
2019/04/01 23:38:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999952073s)
2019/04/01 23:38:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000127179s)
2019/04/01 23:39:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.99988514s)
2019/04/01 23:39:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999988895s)
2019/04/01 23:39:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000066613s)
2019/04/01 23:39:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999952527s)
2019/04/01 23:40:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.0000898s)
2019/04/01 23:40:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000033247s)
2019/04/01 23:40:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000047319s)
2019/04/01 23:40:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999841452s)
