2021/07/07 19:39:16 nsqlookupd v0.2.16
2021/07/07 19:39:16 HTTP: listening on [::]:4161
2021/07/07 20:14:48 CLIENT(127.0.0.1:43564): pinged (last ping 15.000004225s)
2021/07/07 20:15:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999957109s)
2021/07/07 20:15:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.00000927s)
2021/07/07 20:15:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999985532s)
2021/07/07 20:15:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999991595s)
2021/07/07 20:16:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000030085s)
2021/07/07 20:16:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000004056s)
2021/07/07 20:16:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999988896s)
2021/07/07 20:16:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999983422s)
2021/07/07 20:17:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000009892s)
2021/07/07 20:17:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999980287s)
2021/07/07 20:17:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000027871s)
2021/07/07 20:17:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999965888s)
2021/07/07 20:18:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999994814s)
2021/07/07 20:18:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.00004673s)
2021/07/07 20:18:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000051054s)
2021/07/07 20:18:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999999313s)
2021/07/07 20:19:03 CLIENT(127.0.0.1:43564): pinged (last ping 14.999995357s)
2021/07/07 20:19:18 CLIENT(127.0.0.1:43564): pinged (last ping 15.000008626s)
2021/07/07 20:19:33 CLIENT(127.0.0.1:43564): pinged (last ping 14.999926119s)
2021/07/07 20:19:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999981897s)
2021/07/07 20:20:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000004686s)
2021/07/07 20:20:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.999994151s)
2021/07/07 20:20:33 CLIENT(127.0.0.1:43564): pinged (last ping 15.000020627s)
2021/07/07 20:20:48 CLIENT(127.0.0.1:43564): pinged (last ping 14.999991107s)
2021/07/07 20:21:03 CLIENT(127.0.0.1:43564): pinged (last ping 15.000001831s)
2021/07/07 20:21:18 CLIENT(127.0.0.1:43564): pinged (last ping 14.99997939s)
